id,post_date,reporting_date,country_code,author_id,overall_sentiment,brand,model,variant,ownership_status,vehicle_id,id-3,feedback_sentiment,feedback_subcategory
709372,05/01/2025,06/01/2025,IT,300853,Positive,Tesla,Model Y,LR,Owner,17,223722,Positive,Overall Satisfaction With the Car
534669,06/01/2025,13/01/2025,FR,187563,Neutral,Tesla,Model Y,Propulsion,Owner,17,114197,Neutral,Charging Infrastructure
534669,06/01/2025,13/01/2025,FR,187563,Neutral,Tesla,Model Y,Propulsion,Owner,17,114195,Neutral,Charging Experience
534669,06/01/2025,13/01/2025,FR,187563,Neutral,Tesla,Model Y,Propulsion,Owner,17,114196,Negative,Autonomy/Range
534405,07/01/2025,13/01/2025,FR,187286,Negative,Tesla,Model 3,nan,Owner,18,111853,Negative,Switching to Another Brand
534405,07/01/2025,13/01/2025,FR,187286,Negative,Tesla,Model 3,nan,Owner,18,230955,Negative,Interior Design
894743,13/01/2025,20/01/2025,ES,188536,Positive,Tesla,Model Y,LR RWD,Showing Interest,17,357985,Neutral,Test Drive
894743,13/01/2025,20/01/2025,ES,188536,Positive,Tesla,Model Y,LR RWD,Showing Interest,17,357986,Neutral,Price
894743,13/01/2025,20/01/2025,ES,188536,Positive,Tesla,Model Y,LR RWD,Showing Interest,17,357984,Positive,Overall Satisfaction With the Car
540188,07/01/2025,13/01/2025,IT,190321,Neutral,Tesla,Model 3,nan,Owner,18,114830,Negative,Driving Technologies
540198,09/01/2025,13/01/2025,ES,190422,Positive,Tesla,Model 3,nan,Owner,18,114854,Positive,Overall Satisfaction With the Car
551969,03/01/2025,06/01/2025,DE,4466,Negative,Skoda,Enyaq,nan,Owner,5,144591,Negative,Communication From Brand
690940,10/01/2025,13/01/2025,ES,299532,Neutral,Tesla,Model Y,,Owner,17,227638,Positive,Overall Satisfaction With the Car
620079,07/01/2025,13/01/2025,UK,264779,Positive,Skoda,Enyaq,nan,Owner,5,153105,Positive,Charging Experience
507082,01/01/2025,06/01/2025,DE,198,Positive,Skoda,Enyaq,nan,Owner,5,90267,Negative,Infotainment
1339494,06/02/2025,10/02/2025,DE,4501,Neutral,Skoda,Enyaq,nan,Owner,5,725588,Negative,Product Concern/Query
1311746,03/02/2025,10/02/2025,DE,566483,Neutral,Skoda,Enyaq,nan,Owner,5,693028,Neutral,Charging Experience
1339216,09/02/2025,10/02/2025,DE,4484,Negative,Skoda,Enyaq,nan,Owner,5,722914,Negative,OEM Apps
533287,07/01/2025,13/01/2025,DE,187000,Neutral,Tesla,Model 3,nan,Owner,18,131595,Positive,Handling/Driving Experience
533287,07/01/2025,13/01/2025,DE,187000,Neutral,Tesla,Model 3,nan,Owner,18,131596,Positive,Quality
1311774,06/02/2025,10/02/2025,DE,4484,Negative,Skoda,Enyaq,nan,Owner,5,678691,Negative,OEM Apps
711520,08/01/2025,13/01/2025,IT,301101,Neutral,Tesla,Model Y,LR,Pre-Ownership,17,224651,Negative,Order Status
1340015,09/02/2025,10/02/2025,DE,574669,Neutral,Skoda,Enyaq,nan,Owner,5,726820,Neutral,Infotainment
551967,03/01/2025,06/01/2025,DE,4466,Negative,Skoda,Enyaq,nan,Owner,5,144572,Negative,Communication From Brand
1312171,06/02/2025,10/02/2025,DE,443427,Positive,Skoda,Enyaq,nan,Owner,5,678720,Positive,Interior Design
552004,08/01/2025,13/01/2025,DE,4566,Neutral,Skoda,Enyaq,nan,Owner,5,144600,Neutral,Product Concern/Query
1312018,03/02/2025,10/02/2025,DE,443427,Neutral,Skoda,Enyaq,nan,Owner,5,701137,Negative,Product Concern/Query
1057407,20/01/2025,27/01/2025,UK,456061,Positive,Skoda,Enyaq,nan,Owner,5,416640,Positive,Overall Satisfaction With the Car
1057407,20/01/2025,27/01/2025,UK,456061,Positive,Skoda,Enyaq,nan,Owner,5,416641,Neutral,Charging Experience
1344904,05/02/2025,10/02/2025,NL,575956,Neutral,Skoda,Enyaq,nan,Owner,5,725886,Neutral,Driving Modes Experience
1039556,23/01/2025,27/01/2025,DE,447579,Neutral,Skoda,Enyaq,80,Owner,5,407393,Positive,Quality
1039556,23/01/2025,27/01/2025,DE,447579,Neutral,Skoda,Enyaq,80,Owner,5,407394,Negative,Autonomy/Range
1039556,23/01/2025,27/01/2025,DE,447579,Neutral,Skoda,Enyaq,80,Owner,5,407395,Negative,Charging Experience
1039556,23/01/2025,27/01/2025,DE,447579,Neutral,Skoda,Enyaq,80,Owner,5,407396,Negative,Infotainment
1039556,23/01/2025,27/01/2025,DE,447579,Neutral,Skoda,Enyaq,80,Owner,5,407397,Negative,Interior Design
1028277,21/01/2025,27/01/2025,FR,443153,Negative,Skoda,Enyaq,nan,Owner,5,465534,Negative,Aftersales (OEM App Support)
1028277,21/01/2025,27/01/2025,FR,443153,Negative,Skoda,Enyaq,nan,Owner,5,465533,Negative,Customer Care
1027067,20/01/2025,27/01/2025,DE,442818,Negative,Skoda,Enyaq,nan,Owner,5,466681,Negative,Communication From Brand
1027067,20/01/2025,27/01/2025,DE,442818,Negative,Skoda,Enyaq,nan,Owner,5,466682,Negative,Delivery Timings
1027067,20/01/2025,27/01/2025,DE,442818,Negative,Skoda,Enyaq,nan,Owner,5,466684,Neutral,Product Concern/Query
1027067,20/01/2025,27/01/2025,DE,442818,Negative,Skoda,Enyaq,nan,Owner,5,466683,Positive,Overall Satisfaction With the Car
1027070,20/01/2025,27/01/2025,DE,442818,Positive,Skoda,Enyaq,nan,Owner,5,517990,Positive,Handling/Driving experience 
1027070,20/01/2025,27/01/2025,DE,442818,Positive,Skoda,Enyaq,nan,Owner,5,517991,Positive,Driving technologies
1027070,20/01/2025,27/01/2025,DE,442818,Positive,Skoda,Enyaq,nan,Owner,5,517992,Positive,Infotainment
1027070,20/01/2025,27/01/2025,DE,442818,Positive,Skoda,Enyaq,nan,Owner,5,464046,Positive,Overall Satisfaction With the Car
1029249,22/01/2025,27/01/2025,DE,4484,Neutral,Skoda,Enyaq,nan,Owner,5,392140,Positive,Quality
1029249,22/01/2025,27/01/2025,DE,4484,Neutral,Skoda,Enyaq,nan,Owner,5,392139,Neutral,Product Concern/Query
960292,22/01/2025,27/01/2025,DE,4484,Neutral,Skoda,Enyaq,nan,Owner,5,446726,Neutral,Charging experience
960460,23/01/2025,27/01/2025,DE,302109,Neutral,Skoda,Enyaq,nan,Owner,5,446750,Neutral,Product Concern/Query
1311879,06/02/2025,10/02/2025,DE,525,Negative,Skoda,Enyaq,nan,Owner,5,693033,Negative,OEM Apps
994666,22/01/2025,27/01/2025,DE,13758,Positive,Skoda,Enyaq,nan,Pre-Ownership,5,392374,Positive,Overall Satisfaction With the Car
994666,22/01/2025,27/01/2025,DE,13758,Positive,Skoda,Enyaq,nan,Pre-Ownership,5,392375,Positive,Price
994666,22/01/2025,27/01/2025,DE,13758,Positive,Skoda,Enyaq,nan,Pre-Ownership,5,392376,Positive,Exterior Design
994666,22/01/2025,27/01/2025,DE,13758,Positive,Skoda,Enyaq,nan,Pre-Ownership,5,392373,Positive,Test Drive
1311767,05/02/2025,10/02/2025,DE,525,Neutral,Skoda,Enyaq,nan,Owner,5,686663,Neutral,OEM Apps
533065,07/01/2025,13/01/2025,DE,187077,Neutral,Tesla,Model 3,nan,Owner,18,107876,Neutral,Quality
533065,07/01/2025,13/01/2025,DE,187077,Neutral,Tesla,Model 3,nan,Owner,18,107877,Positive,Interior Design
533065,07/01/2025,13/01/2025,DE,187077,Neutral,Tesla,Model Y,,Pre-Ownership,17,107875,Negative,Quality
1028835,25/01/2025,27/01/2025,DE,443271,Neutral,Skoda,Enyaq,nan,Owner,5,390801,Negative,Product Concern/Query
1029303,22/01/2025,27/01/2025,DE,443411,Negative,Skoda,Enyaq,nan,Pre-Ownership,5,394037,Negative,Connectivity
1028769,25/01/2025,27/01/2025,DE,443266,Negative,Skoda,Enyaq,nan,Owner,5,390699,Negative,OEM Apps
1057437,22/01/2025,27/01/2025,UK,456080,Negative,Skoda,Enyaq,nan,Owner,5,416703,Negative,Charging Experience
1339591,08/02/2025,10/02/2025,DE,525,Neutral,Skoda,Enyaq,nan,Owner,5,722540,Negative,Battery
1312135,03/02/2025,10/02/2025,DE,196528,Negative,Skoda,Enyaq,nan,Owner,5,666492,Negative,Safety & Security
1312047,03/02/2025,10/02/2025,DE,196528,Neutral,Skoda,Enyaq,nan,Owner,5,666486,Negative,Owners Manual
1312047,03/02/2025,10/02/2025,DE,196528,Neutral,Skoda,Enyaq,nan,Owner,5,666487,Positive,Overall Satisfaction With the Car
1029591,20/01/2025,27/01/2025,DE,443455,Negative,Skoda,Enyaq,iV 60,Owner,5,400042,Negative,Charging Infrastructure
1029591,20/01/2025,27/01/2025,DE,443455,Negative,Skoda,Enyaq,iV 60,Owner,5,400041,Negative,Autonomy/Range
516468,09/01/2025,13/01/2025,NL,308,Positive,Skoda,Enyaq,85,Showing Interest,5,139389,Positive,Test Drive
515188,06/01/2025,13/01/2025,ES,178296,Positive,Tesla,Model 3,nan,Owner,18,100128,Positive,Handling/Driving Experience
